,query,NF,preference_type,MOO_method,zoo,trial,comp_time,work,output_flag
94,"[['misc'], ['society', 'entertainment'], ['loc', 'education'], ['computers']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,58.393001556396484,0.003848724683402904,2
95,"[['health', 'computers'], ['negative'], ['science'], ['neutral', 'society']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,35.27975082397461,0.003005476138627003,2
96,"[['entertainment', 'sports', 'politics'], ['society', 'computers'], ['neutral']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,48.680782318115234,0.0029797184062989217,2
97,"[['computers', 'business'], ['negative'], ['family', 'health', 'per']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,69.39315795898438,0.004137618483148833,2
98,"[['neutral', 'sports', 'negative'], ['entertainment'], ['loc', 'business']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,94.26736831665039,0.007275747459857021,2
99,"[['loc', 'health', 'org'], ['positive', 'neutral', 'computers']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,111.86814308166504,0.012722385989535777,2
100,"[['surfboard', 'traffic_light', 'tennis_racket'], ['handbag', 'scissors', 'remote']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,65.2313232421875,0.01475695793908796,2
101,"[['backpack', 'remote'], ['vase'], ['hair_drier', 'elephant', 'boat']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,63.541412353515625,0.012562314957210953,2
102,"[['motorcycle', 'sports_ball'], ['toothbrush'], ['sink', 'bear'], ['cell_phone']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,100.46839714050293,0.015439326805696258,2
103,"[['motorcycle', 'handbag', 'cup'], ['donut', 'cake', 'remote']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,103.16801071166992,0.01518070166603205,2
104,"[['frisbee'], ['cat', 'toaster', 'boat'], ['zebra'], ['cup']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,72.49736785888672,0.016030220947745415,2
105,"[['cow', 'carrot'], ['banana', 'backpack'], ['surfboard', 'airplane']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,94.50149536132812,0.015117603306774162,2
106,"[['skis', 'cat', 'bird'], ['horse', 'truck'], ['bed']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,56.36024475097656,0.015367436171830978,2
107,"[['bicycle'], ['donut', 'baseball_bat'], ['elephant'], ['apple'], ['bus']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,195.24431228637695,0.024893990655072456,2
108,"[['sports_ball', 'kite', 'pizza'], ['umbrella'], ['suitcase', 'skateboard']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,63.8735294342041,0.016721862026859047,2
109,"[['fire_hydrant', 'tennis_racket', 'kite'], ['pizza', 'tie'], ['cup']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,64.48197364807129,0.014619608347373327,2
110,"[['loc'], ['positive', 'society'], ['entertainment', 'business', 'per']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,100.16417503356934,0.005568686724425901,2
111,"[['computers'], ['per', 'society', 'science'], ['health'], ['negative']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,265.03920555114746,0.018027876548350006,2
112,"[['health', 'per'], ['family', 'computers'], ['politics'], ['entertainment']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,81.0842514038086,0.007610417952308031,2
113,"[['family', 'science', 'negative'], ['positive'], ['education'], ['org']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,244.12822723388672,0.02868554887041546,2
114,"[['misc'], ['society', 'entertainment'], ['loc', 'education'], ['computers']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,198.67181777954102,0.014935081459057049,2
115,"[['health', 'computers'], ['negative'], ['science'], ['neutral', 'society']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,162.5511646270752,0.017691246131113003,2
116,"[['entertainment', 'sports', 'politics'], ['society', 'computers'], ['neutral']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,37.3687744140625,0.0032771395382419906,2
117,"[['computers', 'business'], ['negative'], ['family', 'health', 'per']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,42.7095890045166,0.004578793173795424,2
118,"[['neutral', 'sports', 'negative'], ['entertainment'], ['loc', 'business']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,54.087162017822266,0.0069105062827042145,2
119,"[['loc', 'health', 'org'], ['positive', 'neutral', 'computers']]",DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,23.989200592041016,0.0037525300685670713,2
120,"[['surfboard', 'traffic_light', 'tennis_racket'], ['handbag', 'scissors', 'remote']]",CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,COCO,0,66.51449203491211,0.014612816276992778,2
121,"[['backpack', 'remote'], ['vase'], ['hair_drier', 'elephant', 'boat']]",CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,COCO,0,83.85038375854492,0.013619309969284723,2
122,"[['motorcycle', 'sports_ball'], ['toothbrush'], ['sink', 'bear'], ['cell_phone']]",CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,COCO,0,98.90580177307129,0.014886819592041621,2
